filename,compartment_count,confidence,x_centers,frame_offset_sec,method,notes
2026-07-01-20-01.mp4,5,1.0,102;222;342;462;582,60.0,gemini-3-flash-preview,"Five compartment heads are clearly visible as dark protrusions along the top edge of the green tanker, spaced approximately 120 pixels apart."
2026-07-01-20-11.mp4,5,1.0,68;175;282;405;528,60.0,gemini-3.1-flash-lite,"Five compartment heads are visible along the top ridge of the tanker, spaced relatively evenly across the frame."
2026-07-01-20-21.mp4,5,1.0,128;235;342;448;555,60.0,gemini-3.1-flash-lite,"Five distinct compartment heads are visible along the top ridge of the tanker, spaced relatively evenly across the frame."
2026-07-01-20-31.mp4,4,1.0,105;245;395;535,60.0,gemini-3.1-flash-lite,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker. There is a vertical pole partially obscuring the view near the center, but four distinct heads are identifiable."
2026-07-01-20-41.mp4,5,1.0,38;178;318;458;598,60.0,gemini-3-flash-preview,"Five compartment heads, visible as small domed protrusions, are spaced evenly along the top ridge of the tanker truck at approximately 140-pixel intervals."
2026-07-01-20-51.mp4,5,1.0,105;215;325;435;545,60.0,gemini-3.1-flash-lite,"The compartment heads are visible as distinct, evenly spaced circular protrusions along the top ridge of the tanker."
2026-07-01-21-01.mp4,6,1.0,15;135;255;375;495;615,60.0,gemini-3-flash-preview,"Six compartment heads are visible as small, regularly spaced protrusions along the top ridge of the tanker truck."
2026-07-01-21-11.mp4,4,1.0,105;245;385;525,60.0,gemini-3-flash-preview,"Four compartment heads are visible as subtle domed protrusions along the top ridge of the tanker, spaced approximately 140 pixels apart."
2026-07-01-21-21.mp4,5,1.0,118;235;352;468;585,60.0,gemini-3.1-flash-lite,The compartment heads are visible as evenly spaced domed protrusions along the top ridge of the tanker.
2026-07-01-21-31.mp4,5,1.0,435;465;495;525;555,60.0,gemini-3.1-flash-lite,"The compartment heads are visible as a series of small, evenly spaced circular protrusions along the top ridge of the tanker, located towards the right side of the frame."
2026-07-01-21-41.mp4,3,1.0,125;385;605,60.0,gemini-3-flash-preview,Three distinct domed protrusions representing compartment heads are visible along the top edge of the tanker truck.
2026-07-01-21-51.mp4,5,1.0,105;215;325;435;545,60.0,gemini-3-flash-preview,"Five compartment heads are visible as distinct protrusions along the top ridge of the tanker, evenly spaced across the frame."
2026-07-01-22-01.mp4,5,1.0,135;238;342;445;548,60.0,gemini-3.1-flash-lite,"Five distinct compartment heads are visible along the top ridge of the tanker, spaced relatively evenly across the frame."
2026-07-01-22-11.mp4,5,1.0,105;225;345;465;585,60.0,gemini-3.1-flash-lite,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker."
2026-07-01-22-21.mp4,5,1.0,105;225;345;465;585,60.0,gemini-3.1-flash-lite,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker."
2026-07-01-22-31.mp4,6,1.0,15;135;255;375;495;615,60.0,gemini-3-flash-preview,"Six compartment heads are visible along the top ridge of the tanker, evenly spaced."
2026-07-01-22-41.mp4,6,1.0,106;211;316;421;526;631,60.0,gemini-3-flash-preview,"Six compartment heads are visible along the top ridge of the tanker, evenly spaced approximately every 105 pixels."
2026-07-01-22-51.mp4,5,1.0,135;245;355;465;575,60.0,gemini-3.1-flash-lite,"Five compartment heads are visible along the top ridge of the tanker, spaced relatively evenly across the frame."
2026-07-01-23-01.mp4,4,1.0,115;255;395;535,60.0,gemini-3.1-flash-lite,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker."
2026-07-01-23-11.mp4,4,1.0,158;285;412;538,60.0,gemini-3.1-flash-lite,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker."
2026-07-01-23-21.mp4,4,1.0,125;265;405;545,60.0,gemini-3.1-flash-lite,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker."
2026-07-01-23-31.mp4,4,1.0,105;255;405;555,60.0,gemini-3.1-flash-lite,"The compartment heads are visible as distinct, evenly spaced circular protrusions along the top ridge of the tank."
2026-07-02-00-11.mp4,4,1.0,148;298;448;598,60.0,gemini-3-flash-preview,"Four compartment heads are visible along the top ridge of the tanker truck, evenly spaced."
2026-07-02-18-41.mp4,4,1.0,115;235;355;475,180.0,gemini-3.1-flash-lite,"The compartment heads are visible as distinct, evenly spaced domed protrusions along the top ridge of the tanker."
